N, num_eigs, dtype, run_time, device, method, workspace_bytes
100, 5, torch.float32, 0.021660804748535156, A100-SXM4-80GB, cusolverSyevdx, 224740
1000, 50, torch.float32, 0.04226827621459961, A100-SXM4-80GB, cusolverSyevdx, 12052132
2000, 100, torch.float32, 0.04507923126220703, A100-SXM4-80GB, cusolverSyevdx, 48104132
5000, 250, torch.float32, 0.29065918922424316, A100-SXM4-80GB, cusolverSyevdx, 300260132
10000, 500, torch.float32, 1.5011518001556396, A100-SXM4-80GB, cusolverSyevdx, 1200520132
15000, 750, torch.float32, 4.006387710571289, A100-SXM4-80GB, cusolverSyevdx, 2700780132
20000, 1000, torch.float32, 8.289611101150513, A100-SXM4-80GB, cusolverSyevdx, 4801040132
25000, 1250, torch.float32, 14.87445330619812, A100-SXM4-80GB, cusolverSyevdx, 7501300132
30000, 1500, torch.float32, 24.150907039642334, A100-SXM4-80GB, cusolverSyevdx, 10801560132
35000, 1750, torch.float32, 36.59126162528992, A100-SXM4-80GB, cusolverSyevdx, 14701820132
40000, 2000, torch.float32, 52.30484580993652, A100-SXM4-80GB, cusolverSyevdx, 19202080132
45000, 2250, torch.float32, 73.68210196495056, A100-SXM4-80GB, cusolverSyevdx, 24302340132
50000, 2500, torch.float32, 98.86071729660034, A100-SXM4-80GB, cusolverSyevdx, 30002600132
100, 5, torch.float64, 0.006278038024902344, A100-SXM4-80GB, cusolverSyevdx, 449352
1000, 50, torch.float64, 0.026276588439941406, A100-SXM4-80GB, cusolverSyevdx, 24076136
2000, 100, torch.float64, 0.04447793960571289, A100-SXM4-80GB, cusolverSyevdx, 96152136
5000, 250, torch.float64, 0.4162266254425049, A100-SXM4-80GB, cusolverSyevdx, 600380136
10000, 500, torch.float64, 2.4137585163116455, A100-SXM4-80GB, cusolverSyevdx, 2400760136
15000, 750, torch.float64, 6.73442816734314, A100-SXM4-80GB, cusolverSyevdx, 5401140136
20000, 1000, torch.float64, 14.804710626602173, A100-SXM4-80GB, cusolverSyevdx, 9601520136
25000, 1250, torch.float64, 27.48064947128296, A100-SXM4-80GB, cusolverSyevdx, 15001900136
30000, 1500, torch.float64, 45.270405530929565, A100-SXM4-80GB, cusolverSyevdx, 21602280136
35000, 1750, torch.float64, 72.29368448257446, A100-SXM4-80GB, cusolverSyevdx, 29402660136
40000, 2000, torch.float64, 102.73811340332031, A100-SXM4-80GB, cusolverSyevdx, 38403040136
45000, 2250, torch.float64, 146.16737031936646, A100-SXM4-80GB, cusolverSyevdx, 48603420136
50000, 2500, torch.float64, 196.55926370620728, A100-SXM4-80GB, cusolverSyevdx, 60003800136
100, 100, torch.float32, 2.8135156631469727, A100-SXM4-80GB, cusolverMgsyevd, 20166016
1000, 1000, torch.float32, 2.9451239109039307, A100-SXM4-80GB, cusolverMgsyevd, 49957888
2000, 2000, torch.float32, 3.1540322303771973, A100-SXM4-80GB, cusolverMgsyevd, 143571328
5000, 5000, torch.float32, 4.022185325622559, A100-SXM4-80GB, cusolverMgsyevd, 798547456
10000, 10000, torch.float32, 6.143626689910889, A100-SXM4-80GB, cusolverMgsyevd, 3673760128
15000, 15000, torch.float32, 10.115327596664429, A100-SXM4-80GB, cusolverMgsyevd, 7025997440
20000, 20000, torch.float32, 16.723392724990845, A100-SXM4-80GB, cusolverMgsyevd, 12473362688
25000, 25000, torch.float32, 26.339320421218872, A100-SXM4-80GB, cusolverMgsyevd, 19094459648
30000, 30000, torch.float32, 40.35883831977844, A100-SXM4-80GB, cusolverMgsyevd, 27576996992
35000, 35000, torch.float32, 59.07780456542969, A100-SXM4-80GB, cusolverMgsyevd, 37615290240
40000, 40000, torch.float32, 82.67464756965637, A100-SXM4-80GB, cusolverMgsyevd, 49209345792
45000, 45000, torch.float32, 113.54239892959595, A100-SXM4-80GB, cusolverMgsyevd, 61671459968
50000, 50000, torch.float32, None, A100-SXM4-80GB, cusolverMgsyevd, 76300687488
100, 100, torch.float64, 3.0068016052246094, A100-SXM4-80GB, cusolverMgsyevd, 19923456
1000, 1000, torch.float64, 3.154207468032837, A100-SXM4-80GB, cusolverMgsyevd, 45054976
2000, 2000, torch.float64, 3.350825548171997, A100-SXM4-80GB, cusolverMgsyevd, 123935232
5000, 5000, torch.float64, 4.403387069702148, A100-SXM4-80GB, cusolverMgsyevd, 675728896
10000, 10000, torch.float64, 7.032146215438843, A100-SXM4-80GB, cusolverMgsyevd, 3182363136
15000, 15000, torch.float64, 12.592784643173218, A100-SXM4-80GB, cusolverMgsyevd, 5920258816
20000, 20000, torch.float64, 22.171489477157593, A100-SXM4-80GB, cusolverMgsyevd, 10507525376
25000, 25000, torch.float64, 35.769224405288696, A100-SXM4-80GB, cusolverMgsyevd, 16084200704
30000, 30000, torch.float64, 55.63725805282593, A100-SXM4-80GB, cusolverMgsyevd, 23227407616
35000, 35000, torch.float64, 82.72568702697754, A100-SXM4-80GB, cusolverMgsyevd, 31680607232
40000, 40000, torch.float64, 115.88376998901367, A100-SXM4-80GB, cusolverMgsyevd, 41443812096
45000, 45000, torch.float64, 160.69295024871826, A100-SXM4-80GB, cusolverMgsyevd, 51939904768
50000, 50000, torch.float64, None, A100-SXM4-80GB, cusolverMgsyevd, 64259049728
100, 100, torch.float32, 3.1273937225341797, 2xA100-SXM4-80GB, cusolverMgsyevd, 20166016
1000, 1000, torch.float32, 3.3475844860076904, 2xA100-SXM4-80GB, cusolverMgsyevd, 34269824
2000, 2000, torch.float32, 3.5812885761260986, 2xA100-SXM4-80GB, cusolverMgsyevd, 81137664
5000, 5000, torch.float32, 4.447556257247925, 2xA100-SXM4-80GB, cusolverMgsyevd, 408811008
10000, 10000, torch.float32, 6.363296031951904, 2xA100-SXM4-80GB, cusolverMgsyevd, 3018338688
15000, 15000, torch.float32, 9.973034381866455, 2xA100-SXM4-80GB, cusolverMgsyevd, 3837569408
20000, 20000, torch.float32, 14.83043646812439, 2xA100-SXM4-80GB, cusolverMgsyevd, 6247142656
25000, 25000, torch.float32, 21.429368257522583, 2xA100-SXM4-80GB, cusolverMgsyevd, 9752617728
30000, 30000, torch.float32, 29.768770694732666, 2xA100-SXM4-80GB, cusolverMgsyevd, 14033087744
35000, 35000, torch.float32, 40.820282220840454, 2xA100-SXM4-80GB, cusolverMgsyevd, 19091437440
40000, 40000, torch.float32, 54.28504180908203, 2xA100-SXM4-80GB, cusolverMgsyevd, 24927666688
45000, 45000, torch.float32, 71.82298636436462, 2xA100-SXM4-80GB, cusolverMgsyevd, 30847731200
50000, 50000, torch.float32, 92.51718759536743, 2xA100-SXM4-80GB, cusolverMgsyevd, 38162652544
100, 100, torch.float64, 3.1322710514068604, 2xA100-SXM4-80GB, cusolverMgsyevd, 19923456
1000, 1000, torch.float64, 3.323219060897827, 2xA100-SXM4-80GB, cusolverMgsyevd, 31818496
2000, 2000, torch.float64, 3.5939290523529053, 2xA100-SXM4-80GB, cusolverMgsyevd, 71319552
5000, 5000, torch.float64, 4.62339448928833, 2xA100-SXM4-80GB, cusolverMgsyevd, 347401728
10000, 10000, torch.float64, 6.878843784332275, 2xA100-SXM4-80GB, cusolverMgsyevd, 2772640256
15000, 15000, torch.float64, 10.780064821243286, 2xA100-SXM4-80GB, cusolverMgsyevd, 3284701696
20000, 20000, torch.float64, 17.107136011123657, 2xA100-SXM4-80GB, cusolverMgsyevd, 5264225536
25000, 25000, torch.float64, 26.121244192123413, 2xA100-SXM4-80GB, cusolverMgsyevd, 8216768256
30000, 30000, torch.float64, 38.16437339782715, 2xA100-SXM4-80GB, cusolverMgsyevd, 11821428992
35000, 35000, torch.float64, 54.232285022735596, 2xA100-SXM4-80GB, cusolverMgsyevd, 16081089536
40000, 40000, torch.float64, 73.74573922157288, 2xA100-SXM4-80GB, cusolverMgsyevd, 20995749376
45000, 45000, torch.float64, 100.65983033180237, 2xA100-SXM4-80GB, cusolverMgsyevd, 25981953536
50000, 50000, torch.float64, 130.64518928527832, 2xA100-SXM4-80GB, cusolverMgsyevd, 32141833728
100, 100, torch.float32, 3.794745445251465, 4xA100-SXM4-80GB, cusolverMgsyevd, 20166016
1000, 1000, torch.float32, 4.045459032058716, 4xA100-SXM4-80GB, cusolverMgsyevd, 34266752
2000, 2000, torch.float32, 4.350351333618164, 4xA100-SXM4-80GB, cusolverMgsyevd, 49920768
5000, 5000, torch.float32, 5.249705076217651, 4xA100-SXM4-80GB, cusolverMgsyevd, 252913280
10000, 10000, torch.float32, 6.971761703491211, 4xA100-SXM4-80GB, cusolverMgsyevd, 2690627968
15000, 15000, torch.float32, 10.525347471237183, 4xA100-SXM4-80GB, cusolverMgsyevd, 3149395328
20000, 20000, torch.float32, 14.8643159866333, 4xA100-SXM4-80GB, cusolverMgsyevd, 3673698688
25000, 25000, torch.float32, 20.19200348854065, 4xA100-SXM4-80GB, cusolverMgsyevd, 5081698176
30000, 30000, torch.float32, 26.737902641296387, 4xA100-SXM4-80GB, cusolverMgsyevd, 7027622144
35000, 35000, torch.float32, 35.99396896362305, 4xA100-SXM4-80GB, cusolverMgsyevd, 9829511040
40000, 40000, torch.float32, 46.20224404335022, 4xA100-SXM4-80GB, cusolverMgsyevd, 12475526656
45000, 45000, torch.float32, 57.921207666397095, 4xA100-SXM4-80GB, cusolverMgsyevd, 15435866880
50000, 50000, torch.float32, 71.4508364200592, 4xA100-SXM4-80GB, cusolverMgsyevd, 19482795520
100, 100, torch.float64, 4.019331693649292, 4xA100-SXM4-80GB, cusolverMgsyevd, 19923456
1000, 1000, torch.float64, 4.24931001663208, 4xA100-SXM4-80GB, cusolverMgsyevd, 31812352
2000, 2000, torch.float64, 4.5760719776153564, 4xA100-SXM4-80GB, cusolverMgsyevd, 45011712
5000, 5000, torch.float64, 5.666579961776733, 4xA100-SXM4-80GB, cusolverMgsyevd, 216064768
10000, 10000, torch.float64, 7.776992082595825, 4xA100-SXM4-80GB, cusolverMgsyevd, 2567778816
15000, 15000, torch.float64, 11.237061738967896, 4xA100-SXM4-80GB, cusolverMgsyevd, 2854529536
20000, 20000, torch.float64, 16.016942501068115, 4xA100-SXM4-80GB, cusolverMgsyevd, 3182240256
25000, 25000, torch.float64, 22.46536350250244, 4xA100-SXM4-80GB, cusolverMgsyevd, 4283055104
30000, 30000, torch.float64, 30.779067754745483, 4xA100-SXM4-80GB, cusolverMgsyevd, 5921794304
35000, 35000, torch.float64, 41.40771508216858, 4xA100-SXM4-80GB, cusolverMgsyevd, 8281330688
40000, 40000, torch.float64, 54.05128717422485, 4xA100-SXM4-80GB, cusolverMgsyevd, 10509569536
45000, 45000, torch.float64, 70.47244048118591, 4xA100-SXM4-80GB, cusolverMgsyevd, 13002978048
50000, 50000, torch.float64, 88.54587721824646, 4xA100-SXM4-80GB, cusolverMgsyevd, 16410946048
100, 100, torch.float32, 5.377092599868774, 8xA100-SXM4-80GB, cusolverMgsyevd, 20166016
1000, 1000, torch.float32, 5.664005994796753, 8xA100-SXM4-80GB, cusolverMgsyevd, 34266752
2000, 2000, torch.float32, 6.109216928482056, 8xA100-SXM4-80GB, cusolverMgsyevd, 49917696
5000, 5000, torch.float32, 7.334689140319824, 8xA100-SXM4-80GB, cusolverMgsyevd, 174966016
10000, 10000, torch.float32, 8.899527072906494, 8xA100-SXM4-80GB, cusolverMgsyevd, 2559540608
15000, 15000, torch.float32, 12.295985221862793, 8xA100-SXM4-80GB, cusolverMgsyevd, 2756157824
20000, 20000, torch.float32, 16.59710717201233, 8xA100-SXM4-80GB, cusolverMgsyevd, 3018307968
25000, 25000, torch.float32, 21.567090272903442, 8xA100-SXM4-80GB, cusolverMgsyevd, 3509837184
30000, 30000, torch.float32, 27.76233744621277, 8xA100-SXM4-80GB, cusolverMgsyevd, 3935827328
35000, 35000, torch.float32, 35.00472927093506, 8xA100-SXM4-80GB, cusolverMgsyevd, 4926141312
40000, 40000, torch.float32, 43.69218301773071, 8xA100-SXM4-80GB, cusolverMgsyevd, 6249455104
45000, 45000, torch.float32, 53.34267258644104, 8xA100-SXM4-80GB, cusolverMgsyevd, 7729934720
50000, 50000, torch.float32, 64.3023133277893, 8xA100-SXM4-80GB, cusolverMgsyevd, 10142868608
100, 100, torch.float64, 5.608382225036621, 8xA100-SXM4-80GB, cusolverMgsyevd, 19923456
1000, 1000, torch.float64, 5.927316188812256, 8xA100-SXM4-80GB, cusolverMgsyevd, 31812352
2000, 2000, torch.float64, 6.386232614517212, 8xA100-SXM4-80GB, cusolverMgsyevd, 45005568
5000, 5000, torch.float64, 7.825856924057007, 8xA100-SXM4-80GB, cusolverMgsyevd, 150399232
10000, 10000, torch.float64, 9.996926069259644, 8xA100-SXM4-80GB, cusolverMgsyevd, 2485828096
15000, 15000, torch.float64, 13.706153869628906, 8xA100-SXM4-80GB, cusolverMgsyevd, 2608726528
20000, 20000, torch.float64, 18.9057834148407, 8xA100-SXM4-80GB, cusolverMgsyevd, 2772578816
25000, 25000, torch.float64, 24.038617372512817, 8xA100-SXM4-80GB, cusolverMgsyevd, 3079797248
30000, 30000, torch.float64, 31.688546419143677, 8xA100-SXM4-80GB, cusolverMgsyevd, 3346049536
35000, 35000, torch.float64, 40.42782759666443, 8xA100-SXM4-80GB, cusolverMgsyevd, 4152052736
40000, 40000, torch.float64, 50.474379777908325, 8xA100-SXM4-80GB, cusolverMgsyevd, 5266476544
45000, 45000, torch.float64, 62.128045082092285, 8xA100-SXM4-80GB, cusolverMgsyevd, 6513490432
50000, 50000, torch.float64, 76.99885821342468, 8xA100-SXM4-80GB, cusolverMgsyevd, 8545505536
100, 5, torch.float32, 0.017764806747436523, RTX-3070-8GB, cusolverSyevdx, 224740
1000, 50, torch.float32, 0.037641048431396484, RTX-3070-8GB, cusolverSyevdx, 12052132
2000, 100, torch.float32, 0.0707244873046875, RTX-3070-8GB, cusolverSyevdx, 48104132
5000, 250, torch.float32, 0.4468059539794922, RTX-3070-8GB, cusolverSyevdx, 300260132
10000, 500, torch.float32, 2.32476806640625, RTX-3070-8GB, cusolverSyevdx, 1200520132
15000, 750, torch.float32, 6.1986284255981445, RTX-3070-8GB, cusolverSyevdx, 2700780132
20000, 1000, torch.float32, 14.500000953674316, RTX-3070-8GB, cusolverSyevdx, 4801040132
25000, 1250, torch.float32, None, RTX-3070-8GB, cusolverSyevdx, 7501300132
30000, 1500, torch.float32, None, RTX-3070-8GB, cusolverSyevdx, 10801560132
35000, 1750, torch.float32, None, RTX-3070-8GB, cusolverSyevdx, 14701820132
40000, 2000, torch.float32, None, RTX-3070-8GB, cusolverSyevdx, 19202080132
45000, 2250, torch.float32, None, RTX-3070-8GB, cusolverSyevdx, 24302340132
50000, 2500, torch.float32, None, RTX-3070-8GB, cusolverSyevdx, 30002600132
100, 5, torch.float64, 0.007077693939208984, RTX-3070-8GB, cusolverSyevdx, 449352
1000, 50, torch.float64, 0.0515141487121582, RTX-3070-8GB, cusolverSyevdx, 24076136
2000, 100, torch.float64, 0.16107630729675293, RTX-3070-8GB, cusolverSyevdx, 96152136
5000, 250, torch.float64, 1.8053743839263916, RTX-3070-8GB, cusolverSyevdx, 600380136
10000, 500, torch.float64, 11.325151205062866, RTX-3070-8GB, cusolverSyevdx, 2400760136
15000, 750, torch.float64, 28.868696212768555, RTX-3070-8GB, cusolverSyevdx, 5401140136
20000, 1000, torch.float64, None, RTX-3070-8GB, cusolverSyevdx, 9601520136
25000, 1250, torch.float64, None, RTX-3070-8GB, cusolverSyevdx, 15001900136
30000, 1500, torch.float64, None, RTX-3070-8GB, cusolverSyevdx, 21602280136
